"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Research on risk data analysis of hazardous chemical vessels based on stream computing","","Lv, Taizhi; Wu, Enze; Tang, Peiyi","Journal of Physics: Conference Series","Scholarly Journals","","2816","1","2024-08-01","Aug 2024","012015","","","17426588","","","ENG","To effectively improve the safety supervision and information management level of vessels carrying hazardous chemicals, the maritime management department is promoting the construction of hazardous chemical vessel monitoring systems based on artificial intelligent technology for hazardous chemical terminals and shipping companies in their jurisdiction. It can identify specific risks and transmit the risk data in real-time to the data center. To analyze data in real-time, a risk data analysis platform for hazardous chemical vessels based on stream computing is designed and implemented. The platform acquires vessel automatic identification system (AIS), risk, basic information, and other data. Based on the stream computing of Flink, it evaluates the risk status of vessels in real time, counts the risk data, and displays the results in the form of charts. The analysis of risk data for hazardous chemical vessels helps maritime management departments to track the real-time navigation status of key vessels, timely identify potential safety hazards, and effectively improve the level and efficiency of safety supervision.","https://www.proquest.com/docview/3092356813?accountid=44943&bdid=84593&_bd=bHmLIEgcTkZv%2B8A6Jz4hQL7o8p0%3D","https://doi.org/10.1088/1742-6596/2816/1/012015"
"Artificial Intelligence in Maritime Transportation: A Comprehensive Review of Safety and Risk Management Applications","","Durlik, Irmina; Miller, Tymoteusz; Miller, Tymoteusz; Kostecka, Ewelina; Tuński, Tomasz","Applied Sciences","Scholarly Journals","","14","18","2024-01-01","2024","8420","","","20763417","","","ENG","Maritime transportation is crucial for global trade but faces significant risks and operational challenges. Ensuring safety is essential for protecting lives, the environment, and economic stability. This review explores the role of artificial intelligence (AI) in enhancing maritime safety and risk management. Key AI applications include risk analysis, crew resource management, hazardous material handling, predictive maintenance, and navigation systems. AI systems identify potential hazards, provide real-time decision support, monitor hazardous materials, predict equipment failures, and optimize shipping routes. Case studies, such as Wärtsilä’s Fleet Operations Solution and ABB Ability™ Marine Pilot Vision, illustrate the benefits of AI in improving safety and efficiency. Despite these advancements, integrating AI poses challenges related to infrastructure compatibility, data quality, and regulatory issues. Addressing these is essential for successful AI implementation. This review highlights AI’s potential to transform maritime safety, emphasizing the need for innovation, standardized practices, and robust regulatory frameworks to achieve safer and more efficient maritime operations.","https://www.proquest.com/docview/3110314696?accountid=44943&bdid=84593&_bd=QrIo%2Fxi0ashFUENiR4oCY8MN4Fc%3D","https://doi.org/10.3390/app14188420"
"Research and Development of Inland Green and Smart Ship Technologies in China","","Pei, Zhiyong; Pei, Zhiyong; Kang, Yuhan; Long, Fei; Long, Fei","Applied Sciences","Scholarly Journals","","14","6","2024-01-01","2024","2316","","","20763417","","","ENG","Nowadays, the development of green and smart ships has become a trend in the global shipping industry. Some countries such as Japan and Korea, as well as several European countries, have already made some progress and advantages. In recent years, China has issued a series of policies to encourage and support the development of green and smart ships. Beyond that, the demonstration of green and smart ships has been promoted along with the trend of larger-sized and standardized inland vessels. The Chinese status and plans of green technologies are summarized including air layer drag reduction, efficient propulsion, DC networking, and clean energy. Some smart technologies have also been illustrated, for instance, intelligent driving, intelligent engine rooms, energy efficiency, hulls, cargo control, and information integration. Smart ship technologies need to be fully validated in order to improve industrialization applications. In the shipping industry, the development and application of smart ship technology need international and inter-regional cooperation, so as to achieve much higher energy savings, ensure environmental protection, achieve collaborative intelligence, and ensure safety and reliability. In turn, this will aid economic advances worldwide.","https://www.proquest.com/docview/2988666760?accountid=44943&bdid=84593&_bd=oo08T2Lkqc8xuin3Pp4HSFw8QCk%3D","https://doi.org/10.3390/app14062316"
"Challenges of maritime human resource management for the transition to shipping digitalization","","Theotokas, Ioannis N.; Lagoudis, Ioannis N.; Raftopoulou, Konstantina","Journal of Shipping and Trade","Scholarly Journals","","9","1","2024-12-01","Dec 2024","6","","6","23644575","","","ENG","The purpose of this paper is to discuss the challenges that appear in maritime human resource management, in the face of the digitalized environment in maritime business, due to the diffusion of new technologies, such as big data analytics, blockchain technology, and future MASS technology. The current study is based on a systematic review of the relevant literature attempting to respond to the analysis of the challenges described above. The study reveals that existing scientific interest concentrates on the training and education of the maritime workforce, the new skills required as well as the possible loss of traditional jobs and the creation of new ones, while mainly examining the seagoing personnel. However, limited attention has been paid to the practices of human resource management, which could facilitate the transition to the new era of maritime business. This study aims at contributing to the research in the field of Maritime HRM by revealing gaps in existing literature and suggesting areas for future research as well as new methodological approaches in addressing these gaps.","https://www.proquest.com/docview/2956984585?accountid=44943&bdid=84593&_bd=mNTR7jXGeqxqGFwohciv0Ae5%2BSY%3D","https://doi.org/10.1186/s41072-024-00165-0"
"A Novel Method for Damping State Switching Based on Machine Learning of a Strapdown Inertial Navigation System","","Lyu, Xu; Zhu, Jiupeng; Zhu, Jiupeng; Wang, Jungang; Dong, Ruiqi; Qian, Shiyi; Hu, Baiqing","Electronics","Scholarly Journals","","13","17","2024-01-01","2024","3439","","","20799292","","","ENG","The integrated navigation system based on the Global Navigation Satellite System (GNSS) in conjunction with the strapdown inertial navigation system (SINS) and the Doppler Velocity Logger (DVL) is essential for accurate and long-distance navigation in maritime environments. However, the error of the integrated navigation system gradually diverges due to the inevitable velocity measurement error of DVL when GNSS outages occur. To ensure the high navigational accuracy and stability of SINS, it is necessary to dynamically adjust the damping state of SINS provided externally. In this paper, we have developed a novel method for damping state switching based on machine learning with SINS. We construct a model of the change in reference velocity error and use sliding window technology to obtain the reference velocity error for model training. Before training, the digital compass loop is designed to process and highlight the change in reference velocity change errors. In order to reduce the impact of the damping switching, a variable damping system is used to transform the traditional one-time switching of the damping coefficient into a gradual switching, effectively reducing the impact of a sudden change in the damping coefficient on the system. Simulation experiments and tests on ships show that the proposed method effectively reduces the overshoot error integrated underwater during state switching. This research is of great importance for the optimal design of integrated underwater navigation systems.","https://www.proquest.com/docview/3103840489?accountid=44943&bdid=84593&_bd=h97%2Fc3LBj%2BXK%2F3Vl8udlgpUTqvM%3D","https://doi.org/10.3390/electronics13173439"
"Addressing Challenges in Port Depth Analysis: Integrating Machine Learning and Spatial Information for Accurate Remote Sensing of Turbid Waters","","Li, Xin; Wu, Zhongqiang; Shen, Wei; Shen, Wei","Sensors","Scholarly Journals","","24","12","2024-01-01","2024","3802","","","14248220","","","ENG","Bathymetry estimation is essential for various applications in port management, navigation safety, marine engineering, and environmental monitoring. Satellite remote sensing data can rapidly acquire the bathymetry of the target shallow waters, and researchers have developed various models to invert the water depth from the satellite data. Geographically weighted regression (GWR) is a common method for satellite-based bathymetry estimation. However, in sediment-laden water environments, especially ports, the suspended materials significantly affect the performance of GWR for depth inversion. This study proposes a novel approach that integrates GWR with Random Forest (RF) techniques, using longitude, latitude, and multispectral remote sensing reflectance as input variables. This approach effectively addresses the challenge of estimating bathymetry in turbid waters by considering the strong correlation between water depth and geographical location. The proposed method not only overcomes the limitations of turbid waters but also improves the accuracy of depth inversion results in such complex aquatic settings. This breakthrough in modeling has significant implications for turbid waters, enhancing port management, navigational safety, and environmental monitoring in sediment-laden maritime zones.","https://www.proquest.com/docview/3072730973?accountid=44943&bdid=84593&_bd=EapFzsLLBMahYzZPkP8FWdobWSo%3D","https://doi.org/10.3390/s24123802"
"The AutoICE Challenge","","Stokholm, Andreas; Buus-Hinkler, Jørgen; Wulf, Tore; Korosov, Anton; Saldo, Roberto; Pedersen, Leif Toudal; Arthurs, David; Dragan, Ionut; Modica, Iacopo; Pedro, Juan; Debien, Annekatrien; Chen, Xinwei; Patel, Muhammed; Pena Cantu, Fernando Jose; Turnes, Javier Noa; Park, Jinman; Xu, Linlin; Scott, Katharine Andrea; Clausi, David Anthony; Yuan, Fang; Jiang, Mingzhe; Taleghanidoozdoozan, Saeid; Neil Curtis Brubacher; Soleymani, Armina; Gousseau, Zacharie; Smaczny, Michał; Kowalski, Patryk; Komorowski, Jacek; Rijlaarsdam, David; van Rijn, Jan Nicolaas; Jakobsen, Jens; Rogers, Martin Samuel James; Hughes, Nick; Zagon, Tom; Solberg, Rune; Longépé, Nicolas; Matilde Brandt Kreiner","The Cryosphere","Scholarly Journals","","18","8","2024-01-01","2024","3471","3494","3471-3494","19940424","","","ENG","Mapping sea ice in the Arctic is essential for maritime navigation, and growing vessel traffic highlights the necessity of the timeliness and accuracy of sea ice charts. In addition, with the increased availability of satellite imagery, automation is becoming more important. The AutoICE Challenge investigates the possibility of creating deep learning models capable of mapping multiple sea ice parameters automatically from spaceborne synthetic aperture radar (SAR) imagery and assesses the current state of the automatic-sea-ice-mapping scientific field. This was achieved by providing the tools and encouraging participants to adopt the paradigm of retrieving multiple sea ice parameters rather than the current focus on single sea ice parameters, such as concentration. The paper documents the efforts and analyses, compares, and discusses the performance of the top-five participants’ submissions. Participants were tasked with the development of machine learning algorithms mapping the total sea ice concentration, stage of development, and floe size using a state-of-the-art sea ice dataset with dual-polarised Sentinel-1 SAR images and 22 other relevant variables while using professionally labelled sea ice charts from multiple national ice services as reference data. The challenge had 129 teams representing a total of 179 participants, with 34 teams delivering 494 submissions, resulting in a participation rate of 26.4 %, and it was won by a team from the University of Waterloo. Participants were successful in training models capable of retrieving multiple sea ice parameters with convolutional neural networks and vision transformer models. The top participants scored best on the total sea ice concentration and stage of development, while the floe size was more difficult. Furthermore, participants offered intriguing approaches and ideas that could help propel future research within automatic sea ice mapping, such as applying high downsampling of SAR data to improve model efficiency and produce better results.","https://www.proquest.com/docview/3089742400?accountid=44943&bdid=84593&_bd=VsmFf8pJmpZoiLOLHib%2BjJ6tKb0%3D","https://doi.org/10.5194/tc-18-3471-2024"
"Sustainable Brand Reputation: Evaluation of iPhone Customer Reviews with Machine Learning and Sentiment Analysis","","Kayakuş, Mehmet; Kayakuş, Mehmet; Açikgöz, Fatma Yiğit; Dinca, Mirela Nicoleta; Dinca, Mirela Nicoleta; Onder Kabas","Sustainability","Scholarly Journals","","16","14","2024-01-01","2024","6121","","","20711050","","","ENG","Brand reputation directly influences customer trust and decision-making. A good reputation can lead to greater customer loyalty, commitment, and advocacy. This study aims to understand the effects of brand reputation on customer trust and loyalty and to determine how brands can protect their reputation. This study, which was conducted on the iPhone 11 sample by obtaining statistical data from customer reviews, can be adapted and used by researchers and companies that want to measure brand reputation. In this study, customer reviews for the iPhone 11 phone on the Trendyol e-commerce site, the largest e-commerce platform in Turkey, are analyzed using sentiment analysis and machine learning methods. While 85 percent of customers are satisfied with the iPhone 11, 13 percent are dissatisfied with it. The neutral comment rate of 2 percent indicates that some customers do not express a clear positive or negative opinion about the product. In the comments of customers who bought the iPhone 11, there are those who express satisfaction with the quality, technical features, performance, and price/performance ratio of the product, as well as those who express significant complaints about delivery, quality, price, and customer service. Neutral comments generally focus on the product itself, price, quality, shipping, and packaging, and make informative evaluations. A sustainable reputation is based on the extent to which an organization embraces ethical principles, social responsibility, and sustainable practices throughout its operations and business relationships. Brands can improve, protect, and increase their brand reputation by considering and analyzing the thoughts and feelings of their customers. For this, they should develop policies and strategies to reinforce their strong features and improve their faulty and deficient features.","https://www.proquest.com/docview/3085060287?accountid=44943&bdid=84593&_bd=Xy%2Fb%2FOZK1V51OU14AbPra2IJ9bI%3D","https://doi.org/10.3390/su16146121"
"New Exploration of Emission Abatement Solution for Newbuilding Bulk Carriers","","Huang, Shunquan; Li, Yuyang","Journal of Marine Science and Engineering","Scholarly Journals","","12","6","2024-01-01","2024","973","","","20771312","","","ENG","With the implementation of the International Maritime Organization’s (IMO) sulfur cap 2020, shipowners have had to choose suitable sulfur oxide emission abatement solutions to respond to this policy. The use of Very Low Sulfur Fuel Oil (VLSFO) and the installation of scrubbers are the main response solutions for bulk carriers today. In recent years, the epidemic has gradually improved, and the options facing shipowners may change. Based on the Clarkson Shipping Intelligence Network, this paper collects data related to newbuilding bulk carriers after the implementation of this policy, considers several factors affecting shipowners’ decision, and adopts a machine learning approach for the first time to build a model and make predictions on emission abatement solutions to provide some reference for shipowners to choose a more suitable solution. The results of the study show that the Extreme Gradient Boosting (XGBoost) model is more suitable for the problem studied in this paper, and the highest prediction accuracy of about 84.25% with an Area Under the Curve (AUC) value of 0.9019 is achieved using this model with hyperparameter adjustment based on a stratified sampling divided data set. The model makes good predictions for newbuilding bulk carriers. In addition, the deadweight tonnage and annual distance traveled of a ship have a greater degree of influence on the choice of its option, which can be given priority in the decision making. In contrast to traditional cost–benefit analyses, this study incorporates economic and non-economic factors and uses machine learning methods for effective classification, which have the advantage of being fast, comparable, and highly accurate.","https://www.proquest.com/docview/3072514513?accountid=44943&bdid=84593&_bd=iiBH946fJmAYmSj3ir9JG8%2Bsk%2Bs%3D","https://doi.org/10.3390/jmse12060973"
"Distributed Energy Dispatch for Geo-Data Centers Port Microgrid","","Qu, Qi; Teng, Fei; Teng, Fei; Xu, Qi; Li, Yushuai","Journal of Marine Science and Engineering","Scholarly Journals","","12","6","2024-01-01","2024","916","","","20771312","","","ENG","With the development of port automation and artificial intelligence, coordination with multi-geographic data centers (Geo-DCs) has become a viable solution to address the issue of limited port computing resources. This study proposes a distributed energy dispatch method for the port microgrid coordinated with Geo-DCs (Geo-DCPM), aimed at reducing port carbon emissions and operational costs. Consider the single point of failure problem and high construction costs of centralized data centers. Geo-DCs are first introduced to solve the problem of insufficient computing resources in ports. An energy consumption calculation model for Geo-DCs is established, considering the data load delay constraint and the data space transfer constraint caused by specific delay-sensitive loads in the port microgrid. Then, an energy dispatch model (EDM) is constructed for the Geo-DCPM, taking into account carbon capture costs. Moreover, based on mixed-integer linear programming, a distributed algorithm is proposed to solve the EDM problem. Finally, the simulation results verify the effectiveness of the proposed method. Compared with the centralized algorithm, the packet loss rate of the distributed algorithm combined with Geo-DCs is significantly lower, reduced by about 70%.","https://www.proquest.com/docview/3072514512?accountid=44943&bdid=84593&_bd=zdvmMrIabFDwdOIpIV6x%2BDCrol0%3D","https://doi.org/10.3390/jmse12060916"
