"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Blockchain-Based Authentication Scheme and Secure Architecture for IoT-Enabled Maritime Transportation Systems","P. Zhang; Y. Wang; G. S. Aujla; A. Jindal; Y. D. Al-Otaibi","College of Computer Science and Technology, China University of Petroleum (East China), Qingdao, China; College of Computer Science and Technology, China University of Petroleum (East China), Qingdao, China; School of Computing Science, Durham University, Durham DH1 3LE, U.K; School of Computing Science, Durham University, Durham DH1 3LE, U.K; Department of Information Systems, Faculty of Computing and Information Technology in Rabigh, King Abdulaziz University, Jeddah, Saudi Arabia",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2322","2331","Although modern Maritime Transportation Systems (MTS) have been extensively benefited from Internet of Things (IoT) technology, but still the risks and challenges in safety and reliability have increased substantially. The involvement of different maritime parties in the marine transportation flow scheduling and management further escalates these challenges. Thus, we need an IoT-based collaborative processing system that unifies the modular structure and integrates multiple modules involved in MTS. Moreover, the need for a shared and controlled access mechanism that cannot be manipulated or tampered by unauthorized parties is also essential requirement in MTS. Blockchain, as an emerging technology, has become a key tool in data security protection because of its non-tampering and non-forgery characteristics. Keeping in view of this aspect, in this paper, an IoT-based collaborative processing system based on blockchain is proposed for marine transportation flow scheduling and management. In addition, we propose a novel consensus mechanism based on Verifiable Random Function (VRF) and reputation voting to reduce the communication cost in blockchain consensus communication process. The proposed scheme has been validated in a simulated environment and the results illustrate that the scheme has obvious effect in resisting replay attack and camouflage attack. Furthermore, the optimized consensus mechanism improves the security by 8% and the transaction processing speed by 6% on the premise that the communication cost is basically unchanged.","1558-0016","","10.1109/TITS.2022.3159485","Shandong Provincial Natural Science Foundation, China(grant numbers:ZR2020MF006); Industry-University Research Innovation Foundation of Ministry of Education of China(grant numbers:2021FNA01001); Major Scientific and Technological Projects of CNPC(grant numbers:ZD2019-183-006); Open Foundation of State Key Laboratory of Integrated Services Networks (Xidian University)(grant numbers:ISN23-09); Startup Fund provided by the Durham University, U.K.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9745459","Maritime transportation systems;Internet of Things;blockchain;authentication mechanism","Blockchains;Authentication;Industries;Information security;Monitoring;Safety;Internet of Things","","34","","41","IEEE","30 Mar 2022","","","IEEE","IEEE Journals"
"Blockchain-Based Traceability for Shipping Containers in Unimodal and Multimodal Logistics","F. K. Elmay; K. Salah; I. Yaqoob; R. Jayaraman; A. Battah; Y. Maleh","Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Industrial and Systems Engineering, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Industrial and Systems Engineering, Khalifa University, Abu Dhabi, United Arab Emirates; ENSAK, Sultan Moulay Slimane University, Beni-Mellal, Morocco",IEEE Access,"30 Dec 2022","2022","10","","133539","133556","An unprecedented amount of goods and commodities are shipped and transported globally each day through different modes of transport. Due to its complexity, the maritime industry suffers from a lack of trust and secure ownership evidence, protracted documentation procedures, and excessive data aggregation. These shortcomings are reflected in cargo processing delays and elevated costs in the shipping process. Most of today’s systems and technologies leveraged for managing shipping containers in unimodal and multimodal logistics fall short of providing transparency, traceability, reliability, audit, security, and trust features. In this paper, we propose a blockchain-based solution that allows users to trace and track their container shipments in a manner that is decentralized, transparent, auditable, secure, and trustworthy. We employ the InterPlanetary File System (IPFS) to overcome the limited data storage problem. We develop smart contracts and present algorithms along with their full implementation, testing, and validation details in both unimodal and multimodal logistics. We present security and cost analyses to show that the proposed solution is secure and cost-efficient. Furthermore, we compare our proposed solution with the existing solutions to show its novelty. All developed smart contract codes are made publicly available on GitHub.","2169-3536","","10.1109/ACCESS.2022.3231689","Khalifa University of Science and Technology(grant numbers:CIRA-2019-001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9997538","Blockchain;ethereum;multimodal logistics;shipping containers;smart contracts;unimodal logistics","Blockchains;Containers;Smart contracts;Logistics;Security;InterPlanetary File System;Costs","","8","","37","CCBY","22 Dec 2022","","","IEEE","IEEE Journals"
"Blockchain-Based Privacy-Preserving Positioning Data Sharing for IoT-Enabled Maritime Transportation Systems","K. Gai; H. Tang; G. Li; T. Xie; S. Wang; L. Zhu; K. -K. R. Choo","School of Cyperspace Science and Technology and the Yangtze Delta Region Academy, Beijing Institute of Technology, Beijing, China; School of Cyperspace Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science, Qufu Normal University, Rizhao, China; School of Cyperspace Science and Technology, Beijing Institute of Technology, Beijing, China; School of Cyperspace Science and Technology, Beijing Institute of Technology, Beijing, China; School of Cyperspace Science and Technology, Beijing Institute of Technology, Beijing, China; Department of Information Systems and Cyber Security, The University of Texas at San Antonio, San Antonio, TX, USA",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2344","2358","Data-driven applications play an important role in modern-time maritime transportation systems, for instance in facilitating decision-making relating to communication and safety. One example application is position data sharing between vessels within the maritime Internet of Things (IoT)-enabled context. When designing such applications, we need to also consider how to ensure data accuracy as well as privacy in a large scale deployment. In this paper, we demonstrate the potential of using blockchain to facilitate privacy-preserving data sharing. Specifically, we develop a zero-knowledge proof-based scheme to protect vessel identities while allowing data sharing, and a commitment-based approach to ensure relationship-related privacy in data trading between participants. Our security and performance evaluations demonstrate the utility of the proposed approach.","1558-0016","","10.1109/TITS.2022.3190487","Natural Science Foundation of Beijing Municipality(grant numbers:4202068); National Natural Science Foundation of China(grant numbers:61972034); Natural Science Foundation of Shandong Province(grant numbers:ZR2019ZD10,ZR2020ZD01); Defense Industrial Technology Development Program(grant numbers:JCKY2020206C058); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9843902","Blockchain;privacy-preserving;positioning error data sharing;Internet of Things;maritime transportation system","Blockchains;Smart contracts;Sensors;Transportation;Global navigation satellite system;Sensor systems;Privacy","","7","","38","IEEE","27 Jul 2022","","","IEEE","IEEE Journals"
"Using NFTs and Blockchain for Traceability and Auctioning of Shipping Containers and Cargo in Maritime Industry","F. K. Elmay; K. Salah; R. Jayaraman; I. A. Omar","Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Industrial and Systems Engineering, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Industrial and Systems Engineering, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Industrial and Systems Engineering, Khalifa University, Abu Dhabi, United Arab Emirates",IEEE Access,"2 Dec 2022","2022","10","","124507","124522","The maritime industry is a complex multi-tiered sector that plays a major role in international shipping and trade. Seaborne transportation is responsible for 90% of goods moved globally, and containerized shipments account for more than 50% of those goods. This volume of movement requires efficient tracking and traceability methods that secure the documentation process and ensure the involved stakeholders. However, due to its complexity, the maritime industry suffers from a lack of trust, lack of ownership evidence, protracted documentation procedures, and excessive data aggregation. These shortcomings are reflected in delays and elevated costs in the shipping process. To mitigate these problems, we propose in this paper a blockchain-based solution for the ownership history and traceability of shipping containers in the industry. Our solution utilizes smart contracts and non-fungible tokens (NFTs) on the Ethereum blockchain to accelerate the inefficient shipping process by digitizing ownership transfer and process documentation. Furthermore, the proposed system allows the owners to auction off their cargo in the destination ports, freeing warehouses and containers in the process. We analyze our proposed system in terms of transaction costs and smart contract security. The smart contracts are developed using the Solidity language in the Remix IDE and the code is made publicly available on GitHub.","2169-3536","","10.1109/ACCESS.2022.3225000","Khalifa University of Science and Technology(grant numbers:CIRA-2019-001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964143","Blockchain;Ethereum;NFTs;supply chain;maritime shipping;auctioning;shipping containers","Blockchains;Costs;Smart contracts;Documentation;Containers;Seaports;Decentralized applications;Supply chains","","17","","33","CCBY","28 Nov 2022","","","IEEE","IEEE Journals"
"Extending On-Chain Trust to Off-Chain – Trustworthy Blockchain Data Collection Using Trusted Execution Environment (TEE)","C. Liu; H. Guo; M. Xu; S. Wang; D. Yu; J. Yu; X. Cheng","Ernst & Young, 43F Shanghai World Financial Center, Shanghai, China; School of Computer Science and Technology, Shandong University, Qingdao, China; School of Computer Science and Technology, Shandong University, Qingdao, China; Beijing Normal University, Beijing, China; School of Computer Science and Technology, Shandong University, Qingdao, China; Qilu University of Technology, Jinan, China; School of Computer Science and Technology, Shandong University, Qingdao, China",IEEE Transactions on Computers,"16 Nov 2022","2022","71","12","3268","3280","Blockchain creates a secure environment on top of strict cryptographic assumptions and rigorous security proofs. It permits on-chain interactions to achieve trustworthy properties such as traceability, transparency, and accountability. However, current blockchain trustworthiness is only confined to on-chain, creating a “trust gap” to the physical, off-chain environment. This is due to the lack of a scheme that can truthfully reflect the physical world in a real-time and consistent manner. Such an absence hinders further blockchain applications in the physical world, especially for the security-sensitive ones. In this paper, we propose a framework to extend blockchain trust from on-chain to off-chain, and take trustworthy vaccine tracing as an example scheme. Our scheme consists of 1) a Trusted Execution Environment (TEE)-enabled trusted environment monitoring system built with the Arm Cortex-M33 microcontroller that continuously senses the inside of a vaccine box through trusted sensors and generates anti-forgery data; and 2) a consistency protocol to upload the environment status data from the TEE system to blockchain in a truthful, real-time consistent, continuous and fault-tolerant fashion. Our security analysis indicates that no adversary can tamper with the vaccine in any way without being captured. We carry out an experiment to record the internal status of a vaccine shipping box during transportation, and the results indicate that the proposed system incurs an average latency of 84 ms in local sensing and processing followed by an average latency of 130 ms to have the sensed data transmitted to and been available in the blockchain.","1557-9956","","10.1109/TC.2022.3148379","National Key R&D Program of China(grant numbers:2019YFB2102600); National Natural Science Foundation of China(grant numbers:U1811463,61971014,61832012,61771289,11675199); National Science Foundation(grant numbers:IIS-1741279,CNS-1704397); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9705115","Blockchain;trusted execution environment;physical traceability;vaccine tracing","Blockchains;Vaccines;Monitoring;Real-time systems;Sensors;Protocols;Fault tolerant systems","","21","","25","IEEE","4 Feb 2022","","","IEEE","IEEE Journals"
"LBlockchainE: A Lightweight Blockchain for Edge IoT-Enabled Maritime Transportation Systems","Y. Jiang; X. Xu; H. Gao; A. D. Rajab; F. Xiao; X. Wang","Jiangsu Key Laboratory of Big Data Security Intelligent Processing, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Engineering and Science, Shanghai University, Shanghai, China; College of Computer Science and Information Systems, Najran University, Najran, Saudi Arabia; School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Advanced Technology, Xi’an Jiaotong-Liverpool University, Suzhou, China",IEEE Transactions on Intelligent Transportation Systems,"8 Feb 2023","2023","24","2","2307","2321","Blockchain can help edge IoT-enabled Maritime Transportation Systems (MTS) in solving its privacy and security problems. In this paper, a lightweight blockchain called LBlockchainE is designed for edge IoT-enabled MTS to guarantee the security of sensor data stored in an edge computing environment. To save the resources of edge servers on ship, a data placement strategy is proposed. To encourage edge servers to positively contribute to storing data generated by sensor devices, storage resource consumption is employed as an influencing parameter, and servers with abundant resources are selected for priority storage. The data placement strategy also takes care of the access delay between servers and selects the nodes with the least access and storage costs as the priority storage choice. LBlockchainE applies the low-energy-consumption characteristics of Proof of Stake to determine the ownership of bookkeeping rights through a small number of competitive calculations and the resources of the node. Experimental results indicate that compared with Ethereum, the consensus mechanism of LBlockchainE consumes less energy and occupies less storage space. On average, the new system uses 1.6% less time and consumes 78% less battery power compared with traditional blockchain systems. In comparison to the random storage, the best storage, and the optimal data storage strategies, the proposed strategy maintains the same message costs.","1558-0016","","10.1109/TITS.2022.3157447","National Natural Science Foundation of China(grant numbers:62072255); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9736333","Edge IoT-enabled MTS;blockchain;edge computing;LBlockchainE;security","Blockchains;Security;Servers;Internet of Things;Privacy;Marine vehicles;Costs","","15","","54","IEEE","16 Mar 2022","","","IEEE","IEEE Journals"
"Securing Sensing in Supply Chains: Opportunities, Building Blocks, and Designs","J. Pennekamp; F. Alder; L. Bader; G. Scopelliti; K. Wehrle; J. T. Mühlberg","Communication and Distributed Systems, RWTH Aachen University, Aachen, Germany; DistriNet, KU Leuven, Heverlee, Belgium; Cyber Analysis and Defense, Fraunhofer FKIE, Bonn, Germany; DistriNet, KU Leuven, Heverlee, Belgium; Communication and Distributed Systems, RWTH Aachen University, Aachen, Germany; DistriNet, KU Leuven, Heverlee, Belgium",IEEE Access,"23 Jan 2024","2024","12","","9350","9368","Supply chains increasingly develop toward complex networks, both technically in terms of devices and connectivity, and also anthropogenic with a growing number of actors. The lack of mutual trust in such networks results in challenges that are exacerbated by stringent requirements for shipping conditions or quality, and where actors may attempt to reduce costs or cover up incidents. In this paper, we develop and comprehensively study four scenarios that eventually lead to end-to-end-secured sensing in complex IoT-based supply chains with many mutually distrusting actors, while highlighting relevant pitfalls and challenges—details that are still missing in related work. Our designs ensure that sensed data is securely transmitted and stored, and can be verified by all parties. To prove practical feasibility, we evaluate the most elaborate design with regard to performance, cost, deployment, and also trust implications on the basis of prevalent (mis)use cases. Our work enables a notion of secure end-to-end sensing with minimal trust across the system stack, even for complex and opaque supply chain networks.","2169-3536","","10.1109/ACCESS.2024.3350778","Research Foundation-Flanders (FWO)(grant numbers:11E5120N); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10382521","Blockchain technology;reliability;security;trust management;trusted computing;trusted execution environments","Supply chains;Sensors;Monitoring;Blockchains;Stakeholders;Scalability;Reliability;Trusted computing;Trust management","","4","","98","CCBY","8 Jan 2024","","","IEEE","IEEE Journals"
"Blockchain-Based Proof of Delivery of Physical Assets With Single and Multiple Transporters","H. R. Hasan; K. Salah","Electrical and Computer Engineering Department, Khalifa University, Abu Dhabi, UAE; Electrical and Computer Engineering Department, Khalifa University, Abu Dhabi, UAE",IEEE Access,"6 Sep 2018","2018","6","","46781","46793","With the widespread of E-commerce, the need of a trusted system to ensure the delivery of traded items is crucial. Current proof of delivery (PoD) systems lacks transparency, traceability, and credibility. These systems are mostly centralized and rely on trusted third parties (TTPs) to complete the delivery between sellers and buyers. TTPs can be costly, a single point of failure, and subject to hacking, privacy evasion, and compromise. The blockchain is an immutable, trusted, and decentralized ledger with logs and events that can be used for transparency, traceability, and tracking. In this paper, we present a solution and a general framework using the popular permissionless Ethereum blockchain to create a trusted, decentralized PoD system that ensures accountability, auditability, and integrity. The solution uses Ethereum smart contracts to prove the delivery of a shipped item between a seller and a buyer irrespective of the number of intermediate transporters needed. In our proposed solution, all participating entities are incentivized to act honestly by using a double deposit collateral. Automated payment in ether is an integral part of a solution to ensure that every entity gets its intended share of ether upon successful delivery. An arbitration mechanism is also incorporated if a dispute arises during the shipping process. In this paper, we show how we implemented, verified, and tested the proper functionality of our PoD solution. We also provide security analysis and give estimates of the cost consumption in ether gas. We made the full code of the Ethereum smart contracts publicly available at Github.","2169-3536","","10.1109/ACCESS.2018.2866512","ICT Fund, UAE; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8443322","Blockchain;Ethereum;smart contracts;cyber security;security analysis;decentralized management","Contracts;Authentication;Computer crime;Privacy","","80","1","16","OAPA","21 Aug 2018","","","IEEE","IEEE Journals"
"A Survey on Integrating Edge Computing With AI and Blockchain in Maritime Domain, Aerial Systems, IoT, and Industry 4.0","A. Alanhdi; L. Toka","Faculty of Electrical Engineering and Informatics, Budapest University of Technology and Economics, Budapest, Hungary; Faculty of Electrical Engineering and Informatics, Budapest University of Technology and Economics, Budapest, Hungary",IEEE Access,"28 Feb 2024","2024","12","","28684","28709","In terms of digital transformation, organizations today are aware of the critical role that data and information play in their expansion and development in light of the Internet of Things. To increase network performance and stability, many applications are moving from cloud computing to edge computing (EC). However, in order to satisfy customers, applications like intelligent transportation systems, smart grids, smart cities, and healthcare call for even more effective services. This survey addresses extensive research on two aspects: firstly, we present the advancements of two application domains namely maritime areas and aerial systems in terms of integration with EC architecture. Secondly, we cover the most recent technologies, artificial intelligence (AI) and blockchain, combined into the EC paradigm by discussing several experiments conducted in various fields to demonstrate the value of utilizing them in the edge computing architecture. We analyze the results of eleven experiments in each technology from 2015 to 2023.","2169-3536","","10.1109/ACCESS.2024.3367118","Ministry of Innovation and Technology of Hungary from the National Research, Development and Innovation Fund through the ANN_20 Funding Scheme(grant numbers:135606); FK_20 Funding Scheme(grant numbers:135074,2019-2.1.13-TÉT_IN,2019-2.1.13-TÉT_IN-2020-00021,2021-1.2.4-TÉT-2021-00058); New National Excellence Program of the Ministry for Culture and Innovation from the Source of the National Research, Development and Innovation Fund(grant numbers:ÚNKP-23-5-BME-436); Hungarian National Research, Development and Innovation Office(grant numbers:2020-1.2.3-EUREKA-2021-000006); János Bolyai Research Scholarship of the Hungarian Academy of Sciences; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10439195","Edge computing;maritime domain;aerial systems;IoT;Industry 40;artificial intelligence;blockchain","Artificial intelligence;Cloud computing;Blockchains;Edge computing;Internet of Things;Computer architecture;Bandwidth;Maritime communications;Fourth Industrial Revolution;Autonomous aerial vehicles;Network systems;Performance evaluation","","4","","124","CCBYNCND","19 Feb 2024","","","IEEE","IEEE Journals"
"Blockchain-Enabled VANET for Smart Solid Waste Management","M. Saad; M. B. Ahmad; M. Asif; M. K. Khan; T. Mahmood; M. T. Mahmood","College of Computing and Information Sciences, Karachi Institute of Economics and Technology, Karachi, Pakistan; College of Computing and Information Sciences, Karachi Institute of Economics and Technology, Karachi, Pakistan; Department of Computer Science, Lahore Garrison University, Lahore, Pakistan; College of Computing and Information Sciences, Karachi Institute of Economics and Technology, Karachi, Pakistan; Department of Computer Science, National Textile University, Faisalabad, Pakistan; Future Convergence Engineering, Korea University of Technology and Education, Cheonan, Republic of Korea",IEEE Access,"20 Jan 2023","2023","11","","5679","5700","Internet of things (IoT) is being applied in every aspect of daily living to improve the quality of life. Waste management is a critical issue, especially for developing countries. The purpose of this study is to propose an IoT-driven state-of-the-art system for solid waste management for developing countries and urban areas. The lack of planning and availability of resources in urban areas have made a living in densely populated surroundings even more difficult. This research work provides a framework based on blockchain-enabled vehicular ad-hoc networks (VANETs) in the realm of IoT. The step-by-step methods are proposed for the decentralized solution for solid waste management using blockchain-enabled VANET. Advanced ultra-high frequency (UHF) technology is used along with IoT devices for the real-time location of waste vehicles and the detection of waste bins. Geo-fencing techniques are also applied for the monitoring and timely collection of waste from the dump spots. Lastly, blockchain technology is applied in the proposed solution to make machine-to-machine (M2M) communication more secure, reliable and trustworthy across IoT devices. The experimental results are also obtained by deploying a pilot project in Karachi, Pakistan. The real-time dashboard is also obtained to demonstrate the daily statistics of the waste collection and performance of the waste vehicles. The results indicate the successful implementation of SSWMS to achieve real-time tracking, intelligent identification of waste bins, trash weighing, and keeping tabs on waste collection from dump spots using geofencing. In future, the blockchain-enabled VANETs can be applied for route management, intelligent transportation and fleet management systems (FMS) due to the inherent characteristics of blockchain and IoT.","2169-3536","","10.1109/ACCESS.2023.3235017","Basic Research Program; Korea Government (MSIT: Ministry of Science and ICT) through the National Research Foundation (NRF) of Korea(grant numbers:2022R1F1A1071452); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10012448","Blockchain;distributed ledger technology;fleet management;geo-fencing;Industrial Internet of Things;Internet of Things;machine to machine;solid waste management;trash weighing;ultra-high frequency;VANET","Waste materials;Blockchains;Urban areas;Distributed ledger;Developing countries;Waste management;Machine-to-machine communications;Industrial Internet of Things","","22","","33","CCBY","9 Jan 2023","","","IEEE","IEEE Journals"
